"","name","price","rating","votes_cnt","subzone","lat","lng","kuchnia1","n","lng_utm","lat_utm"
"178","Restauracja der elefant, Œródmieœcie Pó³nocne",130,4.5,498,"Œródmieœcie pó³nocne",52.241969,21.003389,"Ryby i owoce morza",4,500231.400208436,5787951.2545301
"179","Restauracja thaisty, Œródmieœcie Pó³nocne",130,4.6,604,"Œródmieœcie pó³nocne",52.243014,21.003439,"Tajska",1,500234.808682249,5788067.48737315
"180","Restauracja momu, Œródmieœcie Pó³nocne",110,4.1,392,"Œródmieœcie pó³nocne",52.243647,21.008371,"Europejska",2,500571.548563283,5788137.92179602
"181","Restauracja alchemist gastropub, Œródmieœcie Pó³nocne",120,4.4,213,"Œródmieœcie pó³nocne",52.241071,21.012422,"Burgery",4,500848.188670688,5787851.43958025
"182","Restauracja spacca napoli, Œródmieœcie Pó³nocne",105,4.4,264,"Œródmieœcie pó³nocne",52.234693,21.004599,"Pizza",2,500314.070109332,5787141.96875224
"183","Restauracja s³oik, Œródmieœcie Pó³nocne",100,3.9,375,"Œródmieœcie pó³nocne",52.232333,21.011331,"Polska",1,500773.845865249,5786879.52290255
"184","Restauracja dos tacos, Œródmieœcie Pó³nocne",95,4.3,332,"Œródmieœcie pó³nocne",52.236165,21.010695,"Meksykañska",1,500730.347619756,5787305.73927978
"185","Restauracja du za mi ha, Œródmieœcie Pó³nocne",60,3.8,190,"Œródmieœcie pó³nocne",52.232873,21.012215,"Wietnamska",3,500834.208149821,5786939.59542876
"186","Restauracja si, Œródmieœcie Pó³nocne",100,4.2,224,"Œródmieœcie pó³nocne",52.241105,21.002971,"W³oska",1,500202.863195897,5787855.15277905
"187","Restauracja brooklyn restaurant bar, Œródmieœcie Pó³nocne",80,4,188,"Œródmieœcie pó³nocne",52.233797,20.998626,"Burgery",3,499906.166336348,5787042.30002459
"188","Restauracja mi³oœæ, Œródmieœcie Pó³nocne",90,4,145,"Œródmieœcie pó³nocne",52.23767,21.010037,"Europejska",2,500685.390474511,5787473.13000141
"189","Restauracja mi?dzy bu³kami, Œródmieœcie Pó³nocne",80,4,221,"Œródmieœcie pó³nocne",52.230469,21.015861,"Burgery",1,501083.265671948,5786672.25336788
"190","Restauracja el greco, Œródmieœcie Pó³nocne",130,4,244,"Œródmieœcie pó³nocne",52.235801,20.99919,"Grecka",2,499944.685702467,5787265.19895619
"191","Restauracja informal kitchen, Œródmieœcie Pó³nocne",120,4.1,130,"Œródmieœcie pó³nocne",52.23889,21.01285,"Europejska",4,500877.456023079,5787608.8577188
"192","Restauracja loft, Œródmieœcie Pó³nocne",100,3.9,116,"Œródmieœcie pó³nocne",52.232333,21.011331,"Europejska",3,500773.845865249,5786879.52290255
